---------------------------------------------------------
[#1] I drink tea at 3:00
        True: 48
        False: 52
        Did not vote: 0
        Total voters: 100
        Participation : 100.0%
---------------------------------------------------------
[#2] Who would you like to vote for?
        Ted: 35
        Robert: 31
        Cameron: 34
        Did not vote: 0
        Total voters: 100
        Participation : 100.0%
---------------------------------------------------------

Attendance List:

        Voter #32
        Voter #95
        Voter #1
        Voter #64
        Voter #96
        Voter #33
        Voter #2
        Voter #65
        Voter #34
        Voter #97
        Voter #3
        Voter #66
        Voter #35
        Voter #98
        Voter #4
        Voter #67
        Voter #99
        Voter #36
        Voter #9
        Voter #68
        Voter #5
        Voter #37
        Voter #69
        Voter #6
        Voter #38
        Voter #70
        Voter #7
        Voter #39
        Voter #71
        Voter #8
        Voter #40
        Voter #72
        Voter #41
        Voter #10
        Voter #73
        Voter #42
        Voter #11
        Voter #74
        Voter #43
        Voter #12
        Voter #75
        Voter #44
        Voter #13
        Voter #76
        Voter #45
        Voter #14
        Voter #77
        Voter #46
        Voter #78
        Voter #15
        Voter #47
        Voter #16
        Voter #79
        Voter #48
        Voter #80
        Voter #17
        Voter #49
        Voter #18
        Voter #81
        Voter #50
        Voter #82
        Voter #19
        Voter #51
        Voter #20
        Voter #83
        Voter #52
        Voter #21
        Voter #84
        Voter #53
        Voter #22
        Voter #85
        Voter #54
        Voter #23
        Voter #86
        Voter #55
        Voter #87
        Voter #24
        Voter #56
        Voter #25
        Voter #88
        Voter #57
        Voter #26
        Voter #89
        Voter #58
        Voter #27
        Voter #90
        Voter #59
        Voter #28
        Voter #91
        Voter #60
        Voter #92
        Voter #29
        Voter #61
        Voter #31
        Voter #93
        Voter #30
        Voter #0
        Voter #62
        Voter #94
        Voter #63
